Date;HomeTeam;GuestTeam;HomeGoals;GuestGoals
11.05.19;Vfb Stuttgart;Vfl Wolfsburg;3;0
12.05.19;Eintracht Frankfurt;Mainz 04;0;2
18.05.19;Bayern Munich;Eintracht Frankfurt;5;1
18.05.19;Fortuna Dusseldorf;Hannover;2;1
18.05.19;SC Freiburg;FC Nurnberg;5;1
18.05.19;Union Berlin;Bayer Leverkusen;7;5
18.05.19;Mainz 04;HSV;4;2
18.05.19;M'gladbach;Dortmund;0;2
18.05.19;Schalke 04;Vfb Stuttgart;0;0
18.05.19;Werder Bremen;RB Leipzig;2;1
18.05.19;Vfl Wolfsburg;FC Augsburg;8;1
